Comment,Designator,Footprint,LCSC
"0.1uF","C1,C2,C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"10uF","C4","Capacitor_SMD:C_0805_2012Metric","C15850"
"22pF","C5,C6","Capacitor_SMD:C_0805_2012Metric","C1804"
"1uF","C7","Capacitor_SMD:C_0805_2012Metric","C28323"
"SOD-123","D1,D2,D3,D4,D5,D6","Diode_SMD:D_SOD-123","C8598"
"WS2812B","D7,D8","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C114586"
"500mA","F1","Fuse:Fuse_1206_3216Metric","C206993"
"MountingHole_Pad","H1,H2,H3,H4","MountingHole:MountingHole_2.2mm_M2_Pad",""
"MX-NoLED","MX1,MX2,MX3,MX4,MX5","MX_Only:MXOnly-1U-Hotswap",""
"10k","R1,R4","Resistor_SMD:R_0805_2012Metric","C17414"
"5.1k","R2,R3","Resistor_SMD:R_0805_2012Metric","C27834"
"22","R5,R6","Resistor_SMD:R_0805_2012Metric","C17561"
"SW_Push","SW1","random-keyboard-parts:SKQG-1155865","C318884"
"Rotary_Encoder_Switch","SW2","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles",""
"ATmega32U4-AU","U1","Package_QFP:TQFP-44_10x10mm_P0.8mm","C44854"
"PRTR5V0U2X","U2","random-keyboard-parts:SOT143B",""
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-Assembly",""
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
